"state","location","both_sexes_2002","females_2002","males_2002"
"California","Marin County",74.4,69.3,79.6
"California","Nevada County",68.2,63.3,73.3
"California","Sonoma County",68.1,62.2,74.3
"California","Santa Cruz County",67.9,62.7,73.2
"California","Mono County",67.3,61.2,73.6
"California","El Dorado County",66.7,60.5,73.2
"California","Placer County",65.3,58.5,72.4
"California","San Luis Obispo County",65.3,59.5,71.3
"California","Napa County",65.2,57.1,73.5
"California","Calaveras County",65,58.9,71.4
"California","San Mateo County",64.7,57.4,72.2
"California","Contra Costa County",64.4,56.9,72.2
"California","San Francisco County",63.5,56.9,70.3
"California","Santa Barbara County",63.1,54.7,71.8
"California","Amador County",63,58.5,67.7
"California","Plumas County",63,55.6,70.7
"California","Yolo County",62.9,53.4,72.8
"California","Mariposa County",62.7,55.5,70.2
"California","Ventura County",62.4,53.3,71.8
"California","San Diego County",62,53,71.3
"California","Tuolumne County",61.8,55.7,68
"California","Orange County",61.1,52.1,70.5
"California","Inyo County",60.9,51.5,70.7
"California","Alameda County",60.7,53.3,68.4
"California","Mendocino County",60.1,52.9,67.6
"California","Santa Clara County",60.1,50.4,70.2
"California","Humboldt County",59.8,54.1,65.7
"California","Solano County",59.8,51.3,68.6
"California","Shasta County",59.3,52.1,66.8
"California","Trinity County",58.4,51.5,65.6
"California","California",58,48.7,67.6
"California","Siskiyou County",58,50.9,65.3
"California","Butte County",57.9,50.1,66
"California","Lake County",57.9,48.6,67.6
"California","Sacramento County",57.9,51.4,64.6
"California","San Benito County",57.3,46,69.1
"California","Lassen County",56.9,51.3,62.6
"California","Riverside County",56.5,47.3,66
"California","Modoc County",56.1,49,63.6
"California","Monterey County",55.9,45.9,66.4
"California","Tehama County",55.7,48.6,63
"California","Sierra County",55,47.2,63.1
"California","San Joaquin County",54.3,46.3,62.6
"California","Los Angeles County",54.1,43.2,65.5
"California","Colusa County",53.7,42.3,65.5
"California","Sutter County",52.9,44.2,61.9
"California","San Bernardino County",52.8,42.3,63.7
"California","Yuba County",52.6,43.1,62.5
"California","Glenn County",52.5,41.3,64.2
"California","Stanislaus County",52,42.5,61.9
"California","Del Norte County",50.5,44.7,56.6
"California","Merced County",50.4,38.3,62.9
"California","Kern County",50.1,39.2,61.4
"California","Madera County",50,38.2,62.4
"California","Fresno County",49.1,39.1,59.5
"California","Kings County",47.8,35.6,60.4
"California","Tulare County",46.7,33.8,60.1
"California","Imperial County",45.3,30.6,60.6
"California","Alpine County",44.4,36.3,52.7
