"state","location","both_sexes_2005","females_2005","males_2005"
"Alaska","Juneau City and Borough",64.4,57.9,71.2
"Alaska","Haines Borough",62.8,55,70.9
"Alaska","Sitka City and Borough",62.1,54.9,69.5
"Alaska","Anchorage Municipality",61.3,54.9,68.1
"Alaska","Kenai Peninsula Borough",60.3,54.6,66.2
"Alaska","Bristol Bay Borough",60.1,53.2,67.4
"Alaska","Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and Borough",60,51.7,68.5
"Alaska","Valdez-Cordova Census Area",60,51.7,68.5
"Alaska","Fairbanks North Star Borough",59.4,52.7,66.4
"Alaska","Ketchikan Gateway Borough, Petersburg Census Area, Prince of Wales-Hyder Census Area, Wrangell City and Borough",59.1,51,67.4
"Alaska","Alaska",58.4,52,65
"Alaska","Kodiak Island Borough",57.6,50.2,65.3
"Alaska","Matanuska-Susitna Borough",56,50.5,61.8
"Alaska","Southeast Fairbanks Census Area",54.4,45.6,63.5
"Alaska","Aleutians West Census Area",53.9,44.9,63.2
"Alaska","Aleutians East Borough",50.6,39.3,62.4
"Alaska","Denali Borough, Yukon-Koyukuk Census Area",50,43.7,56.6
"Alaska","Lake and Peninsula Borough",45.3,41.4,49.3
"Alaska","North Slope Borough",42,35,49.2
"Alaska","Dillingham Census Area",39.3,34.6,44.2
"Alaska","Nome Census Area",38.6,32.1,45.3
"Alaska","Bethel Census Area",35.7,29.8,41.7
"Alaska","Northwest Arctic Borough",34.5,29.2,40
"Alaska","Wade Hampton Census Area",26.4,21.6,31.4
